Al	B	Ca	Cu	Fe	K	Mg	Mn	Na	P	Zn	N	C	Albox	Bbox	Cabox	Cubox	Febox	Kbox	Mgbox	Mnbox	Nabox	Pbox	Znbox	Nbox	Cbox	Alnorm	Bnorm	Canorm	Cunorm	Fenorm	Knorm	Mgnorm	Mnnorm	Nanorm	Pnorm	Znnorm	Nnorm	Cnorm
YL58	2116.06	16.81	13191.58	11.14	2529.43	11979.02	2707.04	81.68	6840.59	1717.25	13.84	13.6	391.23	41.15376745	1.102534083	11.41478584	2.026926988	60.06373019	24.59103795	301.2916728	4.96932214	183.4325817	9.792937998	1.85568747	4.31542488	76529.95645	0.446318449	-0.301921554	0.02124421	0.430727299	0.369353294	-0.609228667	1.074751777	0.339194414	0.339194414	0.978790275	-0.309340999	0.430727299	-0.752122489
YL59	2655.71	19.57	14142.51	6.34	3039.71	20614.69	2689.93	66.88	6240	1304.24	16.69	15.27	382.27	44.90605112	1.11681177	11.51460297	1.615664085	65.02197837	27.68823957	300.0030369	4.717211939	174.838427	9.332621206	1.942605129	4.616198584	73064.67645	0.934041501	0.526026123	0.26506362	-0.384557925	0.790255566	1.584876705	1.025590291	-0.092181706	0.221300119	0.309340999	0.206810069	0.870218897	-1.15378684
YL60	1368.41	16.69	9596.59	9.64	1723.47	13963.1	1464.96	68.83	11900.99	892.41	11.86	13.3	396.63	34.76035043	1.101816523	10.96185587	1.924662141	50.85622138	25.43499797	198.8431357	4.753289251	244.8220451	8.712161262	1.780485866	4.258916297	78657.17845	-0.509831534	-0.369353294	-0.609228667	0.235836786	-0.558839611	0.063771035	-1.240773954	-0.035411754	1.693315232	-0.790255566	-0.715053038	0.361783097	-0.415240161
YL61	1444.14	16.43	9805.72	5.29	1693.29	11776.89	2092.63	44.14	10249.8	868.04	9.65	12.4	396.87	35.49700683	1.100229192	10.9923727	1.47609817	50.46657597	24.49875687	253.148973	4.201787361	226.4981983	8.667532889	1.674795518	4.08431383	78752.39845	-0.354233577	-0.446318449	-0.558839611	-0.771048869	-0.592266244	-0.678941165	-0.02124421	-0.956176539	1.373839467	-0.934041501	-1.001915966	0.063771035	-0.361783097
YL62	2217.96	17.01	14042.29	5.33	2481.83	10458.99	2488.28	56.06	9152.94	899.53	14.6	12.23	384.87	41.90562157	1.103709562	11.50439261	1.481979766	59.57241874	23.86301726	284.6070278	4.496899212	213.5247216	8.724986194	1.880972268	4.050427088	74061.95845	0.592266244	-0.221300119	0.235836786	-0.752122489	0.339194414	-1.100334419	0.542359867	-0.369353294	1.100334419	-0.752122489	-0.192363314	0.02124421	-1.100334419
YL63	2362.16	19.85	10559.04	19.58	3069.88	18374.95	1807.12	126.76	4796.82	1178.46	13.47	10.6	395.1	42.93275662	1.118057657	11.09733753	2.40542172	65.29932709	27.00649268	229.2234632	5.533215681	152.3791064	9.165170368	1.84272434	3.708978567	78051.505	0.715053038	0.575472548	-0.369353294	1.536998056	0.84972099	1.001915966	-0.493769569	1.338323635	-0.294518693	0.02124421	-0.430727299	-0.384557925	-0.493769569
YL64	808.79	11.36	4977.81	6.94	1099.53	13695.09	997.82	46.73	7769.32	704.79	3.15	9.27	418.13	28.27319899	1.056413914	10.0444791	1.683974506	41.78068392	25.32698278	153.2390783	4.271832742	196.0334891	8.334501616	0.98023196	3.404413668	87415.84845	-1.411178153	-1.826356298	-2.280148711	-0.250423463	-1.304420071	-0.035411754	-2.280148711	-0.733461771	0.626368225	-1.536998056	-2.533299536	-0.809758313	1.049853854
YL65	2567.63	19.3	15288.06	8.92	2958.87	13237.61	1956.68	78.24	9206.63	908.52	10.34	11.93	376.47	44.32927228	1.115579325	11.62660688	1.868860841	64.27080278	25.1385351	241.8994102	4.914828598	214.1767027	8.741045346	1.710878598	3.989881152	70864.33045	0.84972099	0.446318449	0.430727299	0.120666995	0.733461771	-0.163586723	-0.339194414	0.221300119	1.126658238	-0.696883497	-0.934041501	-0.077968503	-1.492404178
YL67	2766.67	17.49	13956.81	13.24	3378.6	12759.65	1980.39	103.65	6441.21	1278.15	15.01	14.57	390.43	45.6155112	1.106430893	11.49562841	2.146209892	68.05017631	24.93585944	243.8793397	5.27330508	177.7604798	9.299160455	1.893922318	4.492834475	76217.29245	1.074751777	-0.070867983	0.221300119	0.715053038	1.025590291	-0.250423463	-0.279760815	0.956176539	0.294518693	0.235836786	-0.149250552	0.626368225	-0.829574037
YL69	1765.23	15.81	13300.33	9.34	2118.62	14288.49	2123.75	69.36	6083.02	894.22	13.33	13.7	387.7	38.37238927	1.096253218	11.42654563	1.902013082	55.62759015	25.5638776	255.6900318	4.762927744	172.5269294	8.715430525	1.837699765	4.334082967	75155.145	0.049586409	-0.542359867	0.063771035	0.199581485	-0.120666995	0.134944991	0.035411754	-0.02124421	0.192363314	-0.771048869	-0.477833997	0.485786363	-0.956176539
